No.,channel,selfkoc_account,selfkoc_post_url,Likes,Comments,Views,selfkoc_post_date,selfkoc_video_id,,,,,,,,,,
150,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/MvobVynDQmA,14,0,1667,2025/2/20,MvobVynDQmA,,,,,,,,,,
151,youtube,@delimiroorozc,https://www.youtube.com//shorts/rHgwG561UfY,17,0,1615,2025/2/7,rHgwG561UfY,,,,,,,,,,
152,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/z_6KhIdHLjo,14,0,1582,2025/4/4,z_6KhIdHLjo,,,,,,,,,,
153,youtube,@delimiroorozc,https://www.youtube.com//shorts/KX2lbdSPCAw,4,0,1581,2025/4/4,KX2lbdSPCAw,,,,,,,,,,
154,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/NZWvia71AaY,3,0,1527,2025/4/10,NZWvia71AaY,,,,,,,,,,
155,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/WxbTevL-bAs,5,0,1527,2025/4/2,WxbTevL-bAs,,,,,,,,,,
156,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/sWPO3D14pts,22,0,1525,2025/3/10,sWPO3D14pts,,,,,,,,,,
157,youtube,@delimiroorozc,https://www.youtube.com//shorts/KI9Sv8wqiwU,19,0,1507,2025/3/30,KI9Sv8wqiwU,,,,,,,,,,
158,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/cC3FoRA5Aqk,6,0,1485,2025/4/2,cC3FoRA5Aqk,,,,,,,,,,
159,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/5rIi3dneP3U,14,0,1471,2025/2/25,5rIi3dneP3U,,,,,,,,,,
160,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/2Az04NhlgyU,28,0,1470,2025/2/21,2Az04NhlgyU,,,,,,,,,,
161,youtube,@myintgotsu,https://www.youtube.com//shorts/a6kSQiqtV3E,13,0,1454,2025/2/11,a6kSQiqtV3E,,,,,,,,,,
162,youtube,@delimiroorozc,https://www.youtube.com//shorts/g-Fh9yGuKLY,7,4,1444,2025/3/19,g-Fh9yGuKLY,,,,,,,,,,
163,youtube,@myintgotsu,https://www.youtube.com//shorts/1j-jWKBn20o,12,0,1436,2025/2/14,1j-jWKBn20o,,,,,,,,,,
164,youtube,@delimiroorozc,https://www.youtube.com//shorts/cPoey2RXmOM,18,0,1419,2025/2/21,cPoey2RXmOM,,,,,,,,,,
165,youtube,@delimiroorozc,https://www.youtube.com//shorts/ZQsIB4F0QMA,5,0,1413,2025/4/2,ZQsIB4F0QMA,,,,,,,,,,
166,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/zBzSYxTGqWw,18,0,1400,2025/3/11,zBzSYxTGqWw,,,,,,,,,,
167,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/IndXAexJBOM,11,0,1399,2025/2/10,IndXAexJBOM,,,,,,,,,,
